SURVEY_NAME,Study Area Name,StudyAreaVisitStartDateTime,StudyAreaVisitNote,DC Area (sq m),Design Component Label,Site Design Component Label,DC Type,Grid Cell,DC Comments,Trap Type,Easting DC,Northing DC,UTM Zone DC,DC Visit Comments,Nights Trapped,Time,Date,Surveyor,Species,Animal ID,Comments,Count,Sample Material,Sample Label,Sex,Species ID Method
2000 - Grizzly Bear - DNA-based Inventory - Parsnip-Herrick,Parsnip,2000-07-25,Session 4,,7_4,7_4,SAMPLE STATION,7,Helicopter access,HR-BA-BS,555942,6088968,10,,13,0000,2000-07-29,D.  Fear,M-URAR,,unextracted,1,HA,6640-016,,VI
2000 - Grizzly Bear - DNA-based Inventory - Parsnip-Herrick,Parsnip,2000-07-25,Session 4,,7_4,7_4,SAMPLE STATION,7,Helicopter access,HR-BA-BS,555942,6088968,10,,13,0000,2000-07-29,D.  Fear,M-URAR,6640-019,,1,HA,6640-001,F,DNA
2000 - Grizzly Bear - DNA-based Inventory - Parsnip-Herrick,Parsnip,2000-07-25,Session 4,,7_4,7_4,SAMPLE STATION,7,Helicopter access,HR-BA-BS,555942,6088968,10,,13,0000,2000-07-29,D.  Fear,M-URAR,6640-019,,1,HA,6640-010,F,DNA
2000 - Grizzly Bear - DNA-based Inventory - Parsnip-Herrick,Parsnip,2000-07-25,Session 4,,7_4,7_4,SAMPLE STATION,7,Helicopter access,HR-BA-BS,555942,6088968,10,,13,0000,2000-07-29,D.  Fear,M-URAR,6640-019,,1,HA,6640-015,F,DNA
2000 - Grizzly Bear - DNA-based Inventory - Parsnip-Herrick,Parsnip,2000-07-25,Session 4,,7_4,7_4,SAMPLE STATION,7,Helicopter access,HR-BA-BS,555942,6088968,10,,13,0000,2000-07-29,D.  Fear,M-URAR,,unextracted,1,HA,6640-051,,VI
2000 - Grizzly Bear - DNA-based Inventory - Parsnip-Herrick,Parsnip,2000-07-25,Session 4,,7_4,7_4,SAMPLE STATION,7,Helicopter access,HR-BA-BS,555942,6088968,10,,13,0000,2000-07-29,D.  Fear,M-URAR,,unextracted,1,HA,6640-018,,VI
2000 - Grizzly Bear - DNA-based Inventory - Parsnip-Herrick,Parsnip,2000-07-25,Session 4,,7_4,7_4,SAMPLE STATION,7,Helicopter access,HR-BA-BS,555942,6088968,10,,13,0000,2000-07-29,D.  Fear,M-URAR,,unextracted,1,HA,6640-017,,VI
2000 - Grizzly Bear - DNA-based Inventory - Parsnip-Herrick,Parsnip,2000-07-25,Session 4,,7_4,7_4,SAMPLE STATION,7,Helicopter access,HR-BA-BS,555942,6088968,10,,13,0000,2000-07-29,D.  Fear,M-URAR,,unextracted,1,HA,6640-060,,VI
2000 - Grizzly Bear - DNA-based Inventory - Parsnip-Herrick,Parsnip,2000-07-25,Session 4,,7_4,7_4,SAMPLE STATION,7,Helicopter access,HR-BA-BS,555942,6088968,10,,13,0000,2000-07-29,D.  Fear,M-URAR,6640-019,,1,HA,6640-050,F,DNA
2000 - Grizzly Bear - DNA-based Inventory - Parsnip-Herrick,Parsnip,2000-07-25,Session 4,,7_4,7_4,SAMPLE STATION,7,Helicopter access,HR-BA-BS,555942,6088968,10,,13,0000,2000-07-29,D.  Fear,M-URAR,,unextracted,1,HA,6640-014,,VI
