BATCH_NO,CID_NO,MASTER_ID,ERROR_FLAG,SPECIES_CODE,KILL_CODE,LIMITED_ENTRY_FLAG,KILL_DATE,SEX,MU_CODE,SUB_UNIT_CODE,REGION_CODE,SUB_REGION_CODE,ZONE_NO,GRID_EAST,GRID_NORTH,KILL_LOCATION,HUNTER_LICENCE_TYPE,SKULL_LENGTH,SKULL_WIDTH,SKULL_TYPE,HORN_ANNULI_CODE,HORN_ANNULI_AGE,TOOTH_CODE,TOOTH_AGE,WEARSTAIN_CODE,WEARSTAIN_AGE,OTHER_CODE,OTHER_AGE,EXTRACT_FLAG,CHECK_DATE,PARK_KILL_FLAG,CHECK_LOCATION,GUIDE_FORM_NO,PARK_NAME
197507,700090,30628,W,BEAG,1,2,19750401,M,609,0,6,-,0,0,0,KITSEQUECLA LAKE,RH,330,191,3,,,0,,,,0,,1,19000000,,0,,
197507,700091,30629,W,BEAG,1,2,19750401,M,621,0,6,-,0,0,0,BOB QUIN LAKE,RH,432,216,3,,,2,8,,,0,,1,19000000,,0,,
200901,109215,126141,,BEAG,7,2,19750401,F,625,0,6,-,8,601,6615,LINCOLN LK,RH,279,210,3,,,,,,,,,,20090609,,710,,
197507,700084,30622,W,BEAG,1,2,19750531,M,625,0,6,-,0,0,0,PORTER LAKE,RH,286,176,3,,,,,,,,,,19000000,,0,,
197507,700071,30609,W,BEAG,1,2,19750830,M,621,0,6,-,0,0,0,EDZIZA MT,NRH,324,159,3,,,,,,,,,,19000000,,0,,
197507,700025,30563,W,BEAG,1,2,19750901,M,750,0,7,B,0,0,0,GATHTA CREEK,NRH,365,216,3,,,,,,,,,,19000000,,0,,
197507,700035,30573,W,BEAG,1,2,19750902,F,743,0,7,B,0,0,0,GRAHAM RIVER,NRH,317,140,3,,,2,9,,,,,1,19000000,,0,,
197507,700007,30545,W,BEAG,1,2,19750902,M,750,0,7,B,0,0,0,TUCHODI LAKE,NRH,309,165,3,,,,,,,,,,19000000,,0,,
197507,700086,30624,W,BEAG,1,2,19750903,M,743,0,7,B,0,0,0,HALFWAY RIVER,RH,371,235,3,,,,,,,,,1,19000000,,0,,
197507,700024,30562,W,BEAG,1,2,19750904,M,751,0,7,B,0,0,0,465 CREEK,NRH,241,140,3,,,,,,,,,,19000000,,0,,
197507,700002,30540,W,BEAG,1,2,19750904,U,754,0,7,B,0,0,0,8 MILE CREEK,NRH,354,222,3,,,,,,,,,,19000000,,0,,
197507,700027,30565,W,BEAG,1,2,19750905,F,740,0,7,A,0,0,0,FINLAY RIVER,NRH,,,0,,,,,,,,,,19000000,,0,,
197507,700067,30605,W,BEAG,1,2,19750906,F,754,0,7,B,0,0,0,TOAD RIVER,RH,321,187,3,,,,,,,,,,19000000,,0,,
197507,700085,30623,W,BEAG,1,2,19750910,F,626,0,6,-,0,0,0,HART MT,RH,330,194,3,,,,,,,,,1,19000000,,0,,
197507,700068,30606,W,BEAG,1,2,19750911,F,752,0,7,B,0,0,0,EWE LAKE,NRH,311,178,3,,,,,,,,,,19000000,,0,,
