model,K,AIC,dAIC,weight
vacc-1+green+cc+salm_mowat+salm_diver+secure+hum_dens_log+bb,37,26522.2,0,1
vacc-1+green+cc+salm_mowat+secure+hum_dens_log+bb,36,26564.9,42.7,0
fruit-2+green+cc+salm_mowat+secure+hum_dens_log+bb,36,26567.9,45.7,0
vacc-1+green+cc+salm_mowat+secure+hum_dens_log+isolation_scale,36,26568.4,46.2,0
vacc-1+green+cc+salm_mowat+secure+hum_dens_log,35,26569.1,46.8,0
vacc-1+green+cc+salm_mowat+secure+hum_dens_log,35,26569.1,46.8,0
vacc-1+green+cc+salm_mowat+meat_mowat+secure+hum_dens_log,36,26569.6,47.4,0
vacc-1+green+cc+salm_mowat+salm_diver+meat_mowat+hum_dens_log,36,26570.4,48.2,0
vacc-1+green+cc+salm_mowat+secure+hum_dens_log+whitebark,36,26570.8,48.6,0
vacc-2+green+cc+salm_mowat+secure+hum_dens_log+bb,36,26570.9,48.7,0
vacc-1+sprveg_scale+cc+salm_mowat+secure+hum_dens_log+bb,36,26584.2,62,0
fruit-1+green+cc+salm_mowat+secure+hum_dens_log+bb,36,26587.4,65.2,0
vacc-1+commonveg_scale+cc+salm_mowat+secure+hum_dens_log+bb,36,26597.5,75.2,0
vacc-1+green+cc+salm_adams+secure+hum_dens_log+bb,36,26644.2,121.9,0
vacc-1+green+cc+salm_hamilton+secure+hum_dens_log+bb,36,26648.9,126.6,0
salm_mowat+meat_mowat+secure+hum_dens_log,33,26665.3,143.1,0
vacc-1+green+cc+secure+hum_dens_log,34,26672.7,150.5,0
green+cc+secure+hum_dens_log,33,26685.3,163.1,0
vacc-1+green+cc+salm_mowat+meat_mowat,34,26695,172.8,0
secure+hum_dens_log,31,26732.6,210.4,0
