model,logL,K,AIC,dAIC,weight,CumWt
10,13246.43557450457,36,26564.87114900914,0,0.6161473855992812,0.6161473855992812
11,13248.20700574679,36,26568.41401149358,3.542862484438956,0.10480012399366173,0.720947509592943
4,13249.528001070266,35,26569.056002140533,4.184853131391719,0.07602480218260366,0.7969723117755465
9,13249.528001070266,35,26569.056002140533,4.184853131391719,0.07602480218260366,0.8729971139581503
3,13248.822453631392,36,26569.644907262784,4.773758253642882,0.056633861748591835,0.929630975706742
8,13249.199428427897,36,26570.398856855794,5.527707846653357,0.03884705516937757,0.9684780308761196
12,13249.40837596658,36,26570.81675193316,5.945602924017294,0.031521969123880444,1
6,13299.665510893385,33,26665.33102178677,100.45987277762833,9.442791708954163e-23,1
5,13302.332321277738,34,26672.664642555475,107.7934935463345,2.4133754686417796e-24,1
7,13309.667626655038,33,26685.335253310077,120.46410430093601,4.277960077805669e-27,1
2,13313.500807498895,34,26695.00161499779,130.1304659886482,3.405751502305251e-29,1
1,13335.315968801036,31,26732.631937602073,167.76078859293193,2.2955789157703587e-37,1
